Hybridization REF	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3923-01B-10R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-3924-01B-03R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5633-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13	TCGA-B2-5635-01B-04R-A27D-13
miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	16656	4991.447172	N	72148	7888.252454	N	27485	4884.614858	N	43596	4533.700444	N
hsa-let-7a-2	33510	10042.230712	N	144683	15818.817289	Y	53950	9587.956034	Y	86981	9045.458261	Y
hsa-let-7a-3	16945	5078.054295	N	72733	7952.213030	N	27576	4900.787314	N	44062	4582.161413	N
hsa-let-7b	49243	14757.074513	N	153653	16799.546131	N	73687	13095.601785	N	102740	10684.291762	N
hsa-let-7c	5551	1663.516045	N	22522	2462.427535	Y	15874	2821.116109	Y	19958	2075.502190	Y
hsa-let-7d	1836	550.209955	N	9591	1048.625454	N	5730	1018.331568	N	8973	933.133638	N
hsa-let-7e	3887	1164.850814	N	11980	1309.825143	N	8898	1581.346298	N	8966	932.405684	N
hsa-let-7f-1	17	5.094537	N	215	23.506879	N	50	8.885965	N	163	16.950940	N
hsa-let-7f-2	17275	5176.948241	N	49026	5360.224328	N	19289	3428.027506	N	32480	3377.708745	N
hsa-let-7g	1936	580.177817	N	4975	543.938237	N	3660	650.452624	N	6386	664.102464	N
hsa-let-7i	1287	385.686390	N	8649	945.632526	N	6772	1203.515074	N	5871	610.545814	N
hsa-mir-1-1	0	0.000000	N	0	0.000000	N	1	0.177719	N	0	0.000000	N
hsa-mir-1-2	56	16.782003	N	9	0.984009	N	11	1.954912	N	8	0.831948	N
hsa-mir-100	8493	2545.170559	Y	56897	6220.794753	N	2576	457.804907	N	15199	1580.597143	N
hsa-mir-101-1	42974	12878.389215	N	104872	11466.108712	N	34264	6089.373968	N	53187	5531.102063	N
hsa-mir-101-2	153	45.850830	N	764	83.531420	N	109	19.371403	N	365	37.957626	N
hsa-mir-103-1	33135	9929.851228	Y	160150	17509.891203	Y	109644	19485.854521	Y	184584	19195.535434	Y
hsa-mir-103-1-as	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-103-2	11	3.296465	N	141	15.416139	N	104	18.482807	N	96	9.983376	N
hsa-mir-103-2-as	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-105-1	0	0.000000	N	0	0.000000	N	2	0.355439	N	1	0.103993	N
hsa-mir-105-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	3	0.311980	N
hsa-mir-106a	33	9.889395	Y	124	13.557456	Y	227	40.342280	Y	64	6.655584	Y
hsa-mir-106b	1098	329.047130	N	8362	914.253576	N	7279	1293.618758	N	5280	549.085658	N
hsa-mir-107	211	63.232190	Y	1034	113.051686	Y	738	131.156841	Y	778	80.906940	Y
hsa-mir-10a	297983	89299.135607	N	231694	25332.105728	N	50321	8943.012708	N	131003	13623.459934	N
hsa-mir-10b	318659	95495.290850	N	1414453	154648.255642	N	569700	101246.683091	N	1478058	153708.418461	N
hsa-mir-1178	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1179	0	0.000000	N	1	0.109334	N	3	0.533158	N	2	0.207987	N
hsa-mir-1180	49	14.684253	N	344	37.611006	N	611	108.586490	N	557	57.924377	N
hsa-mir-1181	0	0.000000	N	7	0.765340	N	1	0.177719	N	1	0.103993	N
hsa-mir-1182	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1183	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
hsa-mir-1185-2	1	0.299679	N	0	0.000000	N	0	0.000000	N	0	0.000000	N
