"","TCGA-A8-A085","TCGA-AO-A1KQ","TCGA-D8-A1XS","TCGA-AR-A1AV","TCGA-E2-A14W","TCGA-EW-A6SA","TCGA-BH-A0B4","TCGA-BH-A0DD","TCGA-A1-A0SM","TCGA-AQ-A54O","TCGA-EW-A1PD","TCGA-BH-A0DD","TCGA-AC-A62V"
"ENSG00000000003.13",16108,829,6396,3405,2855,2127,1035,2439,3592,2652,5638,3334,785
"ENSG00000000005.5",2,3,1,15,0,3,4,0,1,1,149,9980,16
"ENSG00000000419.11",2282,2643,5769,2431,2077,1946,1960,1964,2308,2747,2012,1137,2208
"ENSG00000000457.12",1541,1373,4246,3336,2283,1577,646,1529,1655,837,1574,887,490
"ENSG00000000460.15",733,724,1816,1360,857,651,159,1246,862,244,765,211,488
"ENSG00000000938.11",145,445,455,432,147,78,344,275,693,354,707,1521,228
"ENSG00000000971.14",2372,1501,4528,2369,441,513,3098,2541,4096,206,3761,13885,843
"ENSG00000001036.12",6841,4828,3291,5153,4740,5557,2569,2251,7089,1401,3931,2957,7203
"ENSG00000001084.9",6245,1210,3967,4685,3440,3289,1526,3088,3414,559,3822,4642,1037
"ENSG00000001167.13",4609,2628,4884,4085,3843,5523,1556,3511,2398,832,3439,1740,1036
"ENSG00000001460.16",1294,484,875,762,724,884,204,730,432,359,469,846,386
"ENSG00000001461.15",12881,939,3413,2758,2925,1318,860,1703,1712,579,2475,1794,1008
"ENSG00000001497.15",5012,3238,4106,4892,1998,7680,1605,3509,2620,4991,3699,1949,4307
"ENSG00000001561.6",5593,407,1356,5957,1369,202,631,1021,2118,557,1405,2728,567
"ENSG00000001617.10",28783,5378,6313,8721,4284,24344,2219,7050,7405,3929,8311,3201,12719
"ENSG00000001626.13",5,3,10,6,9,5,6,2,11,23,14,42,1
"ENSG00000001629.8",10451,3958,9215,7731,4171,3913,1387,10039,6210,1759,6826,4668,1012
"ENSG00000001630.14",664,142,289,366,83,289,122,654,552,132,530,98,70
"ENSG00000001631.13",2822,1988,3686,3440,1532,2326,702,2836,1903,1107,2462,2037,441
"ENSG00000002016.15",337,549,804,683,319,586,104,547,360,281,367,506,237
"ENSG00000002079.11",19,31,11,18,0,12,2,11,14,24,3,3,2
"ENSG00000002330.12",3317,2064,1159,907,1430,2482,1452,683,2240,4488,1969,1500,7739
"ENSG00000002549.11",3777,5390,8564,6235,3665,7385,4407,9096,5316,2084,4000,5742,8234
"ENSG00000002586.16",16519,20839,12960,18038,9755,3451,8884,7431,24965,14145,14995,20356,21862
"ENSG00000002587.8",77,165,263,166,313,44,204,134,453,86,273,157,212
"ENSG00000002726.18",1142,736,9,8,46,1,12,19,3821,14,16,16,523
"ENSG00000002745.11",2,9,5,0,1,2,0,1,3,10,1,8,2
"ENSG00000002746.13",33,12,75,39,26,11,26,24,82,2,25,41,5
"ENSG00000002822.14",3183,1818,1187,1529,969,2487,1055,1617,2100,1411,1624,1207,3500
"ENSG00000002834.16",37716,13990,31665,40807,10589,23506,15167,31509,361523,7475,53830,19800,16000
"ENSG00000002919.13",3999,1671,3043,2955,1885,977,1693,1767,898,1341,2915,1784,1704
"ENSG00000002933.6",1246,1752,1285,1675,627,73,1354,414,2460,2850,1159,1116,1207
"ENSG00000003056.6",4577,2993,8022,6675,2098,3150,2766,4703,3933,308,4060,3300,1759
"ENSG00000003096.12",259,69,107,26,38,107,237,33,292,25,307,337,92
"ENSG00000003137.7",245,77,255,128,95,101,56,30,571,4,280,5476,154
"ENSG00000003147.16",3796,1867,3480,10506,4479,1501,1363,3560,3921,3725,2736,1207,2914
"ENSG00000003249.12",2313,2420,1458,4185,3273,4673,1170,2584,4944,4345,2177,199,1608
"ENSG00000003393.13",3643,1280,3218,2486,1373,1695,1110,3526,2076,672,2701,1897,455
"ENSG00000003400.13",383,256,614,471,47,141,396,255,393,383,751,1647,139
"ENSG00000003402.18",7085,3245,6726,7498,2302,859,3083,5850,4800,1908,5967,15622,1198
"ENSG00000003436.13",1025,422,1015,549,129,289,917,268,924,227,1186,3498,373
"ENSG00000003509.14",900,577,986,674,762,782,308,550,841,447,919,477,522
"ENSG00000003756.15",7505,2270,7918,6178,1862,9830,1691,4576,3919,6536,4441,5290,4492
"ENSG00000003987.12",68,277,181,295,103,384,87,67,201,150,53,78,436
"ENSG00000003989.15",234,12054,42195,145206,15346,186,18367,30116,29242,5492,14892,2495,11658
"ENSG00000004059.9",10648,10476,6680,8183,6473,10877,6895,7241,9344,16651,10091,3447,10375
"ENSG00000004139.12",1156,218,390,901,550,1165,288,221,938,19,225,263,282
"ENSG00000004142.10",9803,7686,13100,8991,8889,14659,3913,7936,10427,4563,6986,5205,12882
"ENSG00000004399.11",15525,4020,12326,8279,2927,11029,6186,4432,7861,13848,23319,19236,10893
"ENSG00000004455.15",10803,4754,7479,11512,7067,7573,2660,5833,8067,5681,9289,4958,6220
"ENSG00000004468.11",18,237,178,43,7,20,65,133,26,27,50,295,13
"ENSG00000004478.7",13437,51425,26163,37734,27063,49654,15341,28564,24635,11540,11875,2846,37404
"ENSG00000004487.14",10330,4272,7300,6933,5133,8899,3017,5917,4563,2997,4219,2815,6284
"ENSG00000004534.13",6168,3272,6745,5042,1558,11604,1358,5204,3282,5814,3067,4291,4017
"ENSG00000004660.13",474,224,1472,842,641,147,236,307,917,405,603,342,967
"ENSG00000004700.14",2926,932,3166,4122,369,1599,808,2356,1916,90,2184,2270,402
"ENSG00000004766.14",3043,1309,3244,3173,951,1521,522,2570,1654,842,2312,1365,543
"ENSG00000004776.10",220,121,136,186,67,50,113,97,207,223,771,29547,448
"ENSG00000004777.17",1719,709,726,986,373,1702,202,1749,367,1965,1573,301,960
"ENSG00000004779.8",7036,3480,4005,4062,1757,7466,1736,1933,2855,2439,2481,1578,8703
"ENSG00000004799.7",1015,1007,1665,3019,269,3089,698,1740,2105,300,6760,49845,807
"ENSG00000004809.12",1,0,1,1,1,11,1,14,1,7,4,10,3
"ENSG00000004838.12",336,846,1093,875,236,2268,108,779,588,1115,144,32,1901
"ENSG00000004846.15",2,0,7,10,0,9,3,1,3,8,12,97,4
"ENSG00000004848.6",0,5,5,431,66,616,1,0,21,0,0,0,128
"ENSG00000004864.12",2425,1772,2629,2167,920,1566,539,1937,2549,752,1589,814,986
"ENSG00000004866.17",2218,1281,3049,2239,1613,1595,1176,1686,2971,1356,2308,2043,917
"ENSG00000004897.10",10094,4009,11980,6764,6554,2749,3445,5030,3625,2054,8813,4663,2235
"ENSG00000004939.12",2,1,2,0,2,5,0,0,0,7,2,25,2
"ENSG00000004948.12",7,20,11,71,8,4,4,8,20,42,17,29,2
"ENSG00000004961.13",2388,701,1528,1429,1243,1652,773,1427,1468,898,1216,976,1326
"ENSG00000004975.10",1752,1355,1789,1477,936,2389,1077,1149,2899,1164,1392,1330,2561
"ENSG00000005001.8",1131,789,627,822,466,1365,585,440,1129,593,640,10,3406
"ENSG00000005007.11",27942,5035,7301,13018,4641,7354,5071,11072,7307,4837,13851,5941,4317
"ENSG00000005020.11",1567,897,2841,4659,1174,2380,720,852,1453,272,4198,4195,761
"ENSG00000005022.5",74516,15644,12670,16513,8886,17105,9142,25032,15420,6016,25931,5913,22134
"ENSG00000005059.14",2414,926,1738,575,1163,877,1013,1071,2731,1071,1530,1001,1066
"ENSG00000005073.5",109,36,124,48,26,22,26,19,76,41,43,52,62
"ENSG00000005075.14",3903,4944,1525,1763,2340,3525,866,1752,1847,4788,1768,1055,3557
"ENSG00000005100.11",2505,1047,6754,3030,1283,1302,538,2124,1753,746,1817,1041,979
"ENSG00000005102.11",14,40,101,37,1,167,236,46,22,48,525,3627,105
"ENSG00000005108.14",267,105,527,337,102,69,340,583,402,149,726,1647,51
"ENSG00000005156.10",4229,2902,7428,4702,2399,2261,1632,3867,1487,1104,5543,852,1770
"ENSG00000005175.8",3077,2577,2984,4114,1941,1619,960,3595,2525,954,2196,968,1695
"ENSG00000005187.10",250,42,159,136,59,28,48,143,103,54,137,74,30
"ENSG00000005189.18",841,781,1676,792,368,924,256,812,364,283,334,275,846
"ENSG00000005194.13",5304,2720,2248,3950,1835,2752,2102,2892,1986,1253,2764,1399,3080
"ENSG00000005206.15",2457,2116,1608,2613,1583,7742,1372,2941,1529,4202,3197,1288,4516
"ENSG00000005238.18",4574,749,1264,1418,514,1902,1202,805,2805,1892,1574,1621,1273
"ENSG00000005243.8",1333,553,1063,1241,834,224,719,306,1638,1337,1047,3311,2058
"ENSG00000005249.11",3058,614,939,1231,2352,4540,942,8941,3405,2607,1018,38576,2505
"ENSG00000005302.16",2016,974,1855,1615,944,1956,658,1537,1837,1087,1648,1224,919
"ENSG00000005339.11",18506,4374,12758,16525,4680,14041,3712,9400,6950,2819,9801,7488,3854
"ENSG00000005379.14",4964,1196,2715,1157,1252,7320,480,3074,1007,2758,2874,401,724
"ENSG00000005381.7",0,3,7,7,5,29,3,6,1,20,8,12,5
"ENSG00000005421.7",6,68,2,6,58,5,0,59,127,127,4,5,0
"ENSG00000005436.12",1312,924,2177,1410,1770,1417,426,2004,1301,508,1434,1494,629
"ENSG00000005448.15",1466,1696,522,528,1187,1180,482,926,576,700,582,246,3547
"ENSG00000005469.10",13526,1417,2814,6985,2322,1333,2773,8183,4098,2112,4942,728,301
"ENSG00000005471.14",201,89,194,223,55,50,71,111,178,76,177,158,56
"ENSG00000005483.18",15959,3490,9661,9502,4198,4469,1647,10192,7715,2231,6487,6100,799
"ENSG00000005486.15",9988,6541,3897,6451,5780,4388,1979,6300,7473,8720,4915,3000,4416
"ENSG00000005513.9",53,13,12,21,4,36,36,8,39,2,76,32,18
"ENSG00000005700.13",8304,2709,9996,10969,5675,5630,1567,5381,7686,1170,4263,3271,2951
"ENSG00000005801.15",1672,1581,1426,1544,1477,6173,387,1334,1253,915,1067,542,923
"ENSG00000005810.16",2118,1097,10178,8358,2255,4809,3546,2750,4521,957,9560,17539,856
"ENSG00000005812.9",3702,1105,8982,4801,3496,5233,2232,1999,7526,905,4817,4571,1927
"ENSG00000005844.16",471,2032,1619,2234,259,5306,640,893,477,1353,496,549,198
"ENSG00000005882.10",4375,1726,1787,1459,1741,740,1240,2760,1132,750,2607,3381,1210
"ENSG00000005884.16",8139,4681,4637,5696,2107,2407,2889,10433,15462,3573,9091,3028,6633
"ENSG00000005889.14",3188,973,4779,10663,2115,2922,1279,2898,2540,2345,2311,2479,783
